facility_id,facility_name,region,basin,state,asset_type,operator,active_flag,effective_start_date,effective_end_date,latitude,longitude,source_system
FAC-001,Delaware Gas Gathering 01,Permian,Delaware,TX,Gas Gathering,MeterFlow Midstream,Y,2024-11-24,,31.590004,-103.237342,FlowCalSim
FAC-002,Delaware Gas Processing 02,Permian,Delaware,NM,Gas Processing,Third-Party JV,Y,2022-03-18,,32.285141,-104.532862,ProCountSim
FAC-003,DJ Compressor Station 03,Rockies,DJ,CO,Compressor Station,Acquired Asset Team,Y,2023-03-08,,40.13196,-104.860685,PI_SIM
FAC-004,Powder River Produced Water 04,Rockies,Powder River,WY,Produced Water,WES Demo Ops,Y,2021-06-01,,43.2958,-105.848565,SimulatedSCADA
FAC-005,South Texas Oil Gathering 05,Gulf Coast,South Texas,TX,Oil Gathering,MeterFlow Midstream,Y,2023-04-14,,29.094448,-98.176889,FlowCalSim
FAC-006,Uinta SWD / Disposal 06,Rockies,Uinta,UT,SWD / Disposal,Third-Party JV,Y,2023-10-17,,40.48181,-110.036372,ProCountSim
FAC-007,Green River Water Recycling 07,Rockies,Green River,WY,Water Recycling,Acquired Asset Team,Y,2023-06-25,,41.692188,-109.635609,PI_SIM
FAC-008,Delaware Gas Gathering 08,Permian,Delaware,TX,Gas Gathering,WES Demo Ops,Y,2024-05-10,,32.069613,-103.517474,SimulatedSCADA
FAC-009,Delaware Gas Processing 09,Permian,Delaware,NM,Gas Processing,MeterFlow Midstream,Y,2024-08-07,,31.879768,-103.422111,FlowCalSim
FAC-010,DJ Compressor Station 10,Rockies,DJ,CO,Compressor Station,Third-Party JV,Y,2022-04-10,,40.061368,-104.899915,ProCountSim
FAC-011,Powder River Produced Water 11,Rockies,Powder River,WY,Produced Water,Acquired Asset Team,Y,2022-04-07,,43.433077,-105.422095,PI_SIM
FAC-012,South Texas Oil Gathering 12,Gulf Coast,South Texas,TX,Oil Gathering,WES Demo Ops,Y,2024-06-26,,29.003183,-98.049213,SimulatedSCADA
FAC-013,Uinta SWD / Disposal 13,Rockies,Uinta,UT,SWD / Disposal,MeterFlow Midstream,Y,2021-08-17,,40.098396,-110.379285,FlowCalSim
FAC-014,Green River Water Recycling 14,Rockies,Green River,WY,Water Recycling,Third-Party JV,Y,2022-04-29,,41.396557,-109.084407,ProCountSim
FAC-015,Delaware Gas Gathering 15,Permian,Delaware,TX,Gas Gathering,Acquired Asset Team,Y,2022-02-15,,31.821513,-103.794055,PI_SIM
FAC-016,Delaware Gas Processing 16,Permian,Delaware,NM,Gas Processing,WES Demo Ops,Y,2024-07-04,,31.84388,-103.622293,SimulatedSCADA
FAC-017,DJ Compressor Station 17,Rockies,DJ,CO,Compressor Station,MeterFlow Midstream,Y,2021-07-22,,40.235789,-104.982928,FlowCalSim
FAC-018,Powder River Produced Water 18,Rockies,Powder River,WY,Produced Water,Third-Party JV,Y,2023-07-14,,43.35804,-105.50916,ProCountSim
FAC-019,South Texas Oil Gathering 19,Gulf Coast,South Texas,TX,Oil Gathering,Acquired Asset Team,Y,2021-09-21,,29.117857,-98.121742,PI_SIM
FAC-020,Uinta SWD / Disposal 20,Rockies,Uinta,UT,SWD / Disposal,WES Demo Ops,Y,2024-02-13,,40.369728,-110.176347,SimulatedSCADA
FAC-021,Green River Water Recycling 21,Rockies,Green River,WY,Water Recycling,MeterFlow Midstream,Y,2022-02-13,,41.757822,-109.810005,FlowCalSim
FAC-022,Delaware Gas Gathering 22,Permian,Delaware,TX,Gas Gathering,Third-Party JV,Y,2022-02-27,,31.770082,-103.66463,ProCountSim
FAC-023,Delaware Gas Processing 23,Permian,Delaware,NM,Gas Processing,Acquired Asset Team,N,2023-04-07,2025-12-07,31.981214,-103.326771,PI_SIM
FAC-024,DJ Compressor Station 24,Rockies,DJ,CO,Compressor Station,WES Demo Ops,Y,2023-07-11,,40.34207,-105.339004,SimulatedSCADA
FAC-025,Powder River Produced Water 25,Rockies,Powder River,WY,Produced Water,MeterFlow Midstream,N,2022-08-16,2026-02-19,43.340688,-105.344822,FlowCalSim
