flowcal_record_id,meter_id,facility_id,production_date,gas_day,measured_volume,corrected_volume,estimated_flag,validation_status,exception_code,approved_flag,close_status,flowcal_batch_id,extracted_timestamp,last_updated_timestamp
FCAL-00000001,MTR-001,FAC-001,2026-04-01,2026-04-01,12132.249,12129.757,N,VALIDATED,,Y,CLOSED,FCAL-20260401,2026-04-02T06:00:00,2026-04-02T07:00:00
FCAL-00000002,MTR-001,FAC-001,2026-04-02,2026-04-02,12200.561,12377.599,N,VALIDATED,,Y,CLOSED,FCAL-20260402,2026-04-03T06:00:00,2026-04-03T07:00:00
FCAL-00000003,MTR-001,FAC-001,2026-04-03,2026-04-03,12206.862,12312.784,N,VALIDATED,,Y,CLOSED,FCAL-20260403,2026-04-04T06:00:00,2026-04-04T07:00:00
FCAL-00000004,MTR-001,FAC-001,2026-04-04,2026-04-04,11980.515,11997.361,N,VALIDATED,,Y,CLOSED,FCAL-20260404,2026-04-05T06:00:00,2026-04-05T07:00:00
FCAL-00000005,MTR-001,FAC-001,2026-04-05,2026-04-05,11617.059,11659.622,N,VALIDATED,,Y,CLOSED,FCAL-20260405,2026-04-06T06:00:00,2026-04-06T07:00:00
FCAL-00000006,MTR-001,FAC-001,2026-04-06,2026-04-06,11859.012,11730.514,N,VALIDATED,,Y,CLOSED,FCAL-20260406,2026-04-07T06:00:00,2026-04-07T07:00:00
FCAL-00000007,MTR-001,FAC-001,2026-04-07,2026-04-07,11714.491,11480.132,N,VALIDATED,,Y,CLOSED,FCAL-20260407,2026-04-08T06:00:00,2026-04-08T07:00:00
FCAL-00000008,MTR-001,FAC-001,2026-04-08,2026-04-08,11928.549,11931.731,N,VALIDATED,,Y,CLOSED,FCAL-20260408,2026-04-09T06:00:00,2026-04-09T07:00:00
FCAL-00000009,MTR-001,FAC-001,2026-04-09,2026-04-09,11909.536,11934.218,N,VALIDATED,,Y,CLOSED,FCAL-20260409,2026-04-10T06:00:00,2026-04-10T07:00:00
FCAL-00000010,MTR-001,FAC-001,2026-04-10,2026-04-10,12350.927,12321.846,N,VALIDATED,,Y,CLOSED,FCAL-20260410,2026-04-11T06:00:00,2026-04-11T07:00:00
FCAL-00000011,MTR-001,FAC-001,2026-04-11,2026-04-11,11568.746,11807.856,N,VALIDATED,,Y,CLOSED,FCAL-20260411,2026-04-12T06:00:00,2026-04-12T07:00:00
FCAL-00000012,MTR-001,FAC-001,2026-04-12,2026-04-12,11732.564,11872.058,N,VALIDATED,,Y,CLOSED,FCAL-20260412,2026-04-13T06:00:00,2026-04-13T07:00:00
FCAL-00000013,MTR-001,FAC-001,2026-04-13,2026-04-13,11792.991,11794.028,N,VALIDATED,,Y,CLOSED,FCAL-20260413,2026-04-14T06:00:00,2026-04-14T07:00:00
FCAL-00000014,MTR-001,FAC-001,2026-04-14,2026-04-14,11402.992,11288.699,N,VALIDATED,,Y,CLOSED,FCAL-20260414,2026-04-15T06:00:00,2026-04-15T07:00:00
FCAL-00000015,MTR-001,FAC-001,2026-04-15,2026-04-15,11894.226,11943.618,N,VALIDATED,,Y,CLOSED,FCAL-20260415,2026-04-16T06:00:00,2026-04-16T07:00:00
FCAL-00000016,MTR-001,FAC-001,2026-04-16,2026-04-16,12432.605,12472.118,N,VALIDATED,,Y,CLOSED,FCAL-20260416,2026-04-17T06:00:00,2026-04-17T07:00:00
FCAL-00000017,MTR-001,FAC-001,2026-04-17,2026-04-17,12249.494,12302.062,N,VALIDATED,,Y,CLOSED,FCAL-20260417,2026-04-18T06:00:00,2026-04-18T07:00:00
FCAL-00000018,MTR-001,FAC-001,2026-04-18,2026-04-18,11842.614,11720.389,N,VALIDATED,,Y,CLOSED,FCAL-20260418,2026-04-19T06:00:00,2026-04-19T07:00:00
FCAL-00000019,MTR-001,FAC-001,2026-04-19,2026-04-19,11926.547,11895.382,N,VALIDATED,,Y,CLOSED,FCAL-20260419,2026-04-20T06:00:00,2026-04-20T07:00:00
FCAL-00000020,MTR-001,FAC-001,2026-04-20,2026-04-20,11496.631,11477.018,N,VALIDATED,,Y,CLOSED,FCAL-20260420,2026-04-21T06:00:00,2026-04-21T07:00:00
FCAL-00000021,MTR-001,FAC-001,2026-04-21,2026-04-21,11743.377,11784.39,N,VALIDATED,,Y,CLOSED,FCAL-20260421,2026-04-22T06:00:00,2026-04-22T07:00:00
FCAL-00000022,MTR-001,FAC-001,2026-04-22,2026-04-22,11987.43,11759.151,N,VALIDATED,,Y,CLOSED,FCAL-20260422,2026-04-23T06:00:00,2026-04-23T07:00:00
FCAL-00000023,MTR-001,FAC-001,2026-04-23,2026-04-23,11940.631,12225.376,N,VALIDATED,,Y,CLOSED,FCAL-20260423,2026-04-24T06:00:00,2026-04-24T07:00:00
FCAL-00000024,MTR-001,FAC-001,2026-04-24,2026-04-24,12289.74,12430.766,N,VALIDATED,,Y,CLOSED,FCAL-20260424,2026-04-25T06:00:00,2026-04-25T07:00:00
FCAL-00000025,MTR-001,FAC-001,2026-04-25,2026-04-25,11435.028,11537.716,N,VALIDATED,,Y,CLOSED,FCAL-20260425,2026-04-26T06:00:00,2026-04-26T07:00:00
FCAL-00000026,MTR-001,FAC-001,2026-04-26,2026-04-26,11224.484,11231.312,N,VALIDATED,,Y,CLOSED,FCAL-20260426,2026-04-27T06:00:00,2026-04-27T07:00:00
FCAL-00000027,MTR-001,FAC-001,2026-04-27,2026-04-27,11754.187,11795.623,N,VALIDATED,,Y,CLOSED,FCAL-20260427,2026-04-28T06:00:00,2026-04-28T07:00:00
FCAL-00000028,MTR-001,FAC-001,2026-04-28,2026-04-28,11807.77,11885.11,N,VALIDATED,,Y,CLOSED,FCAL-20260428,2026-04-29T06:00:00,2026-04-29T07:00:00
FCAL-00000029,MTR-001,FAC-001,2026-04-29,2026-04-29,11994.712,11974.228,N,VALIDATED,,Y,CLOSED,FCAL-20260429,2026-04-30T06:00:00,2026-04-30T07:00:00
FCAL-00000030,MTR-001,FAC-001,2026-04-30,2026-04-30,12054.871,12270.548,N,VALIDATED,,Y,CLOSED,FCAL-20260430,2026-05-01T06:00:00,2026-05-01T07:00:00
FCAL-00000031,MTR-001,FAC-001,2026-05-01,2026-05-01,11846.737,11697.88,N,VALIDATED,,Y,CLOSED,FCAL-20260501,2026-05-02T06:00:00,2026-05-02T07:00:00
FCAL-00000032,MTR-001,FAC-001,2026-05-02,2026-05-02,11716.211,11446.343,N,VALIDATED,,Y,CLOSED,FCAL-20260502,2026-05-03T06:00:00,2026-05-03T07:00:00
FCAL-00000033,MTR-001,FAC-001,2026-05-03,2026-05-03,11613.76,11776.528,N,VALIDATED,,Y,CLOSED,FCAL-20260503,2026-05-04T06:00:00,2026-05-04T07:00:00
FCAL-00000034,MTR-001,FAC-001,2026-05-04,2026-05-04,11508.695,11734.146,N,VALIDATED,,Y,CLOSED,FCAL-20260504,2026-05-05T06:00:00,2026-05-05T07:00:00
FCAL-00000035,MTR-001,FAC-001,2026-05-05,2026-05-05,11529.796,11594.375,N,VALIDATED,,Y,CLOSED,FCAL-20260505,2026-05-06T06:00:00,2026-05-06T07:00:00
FCAL-00000036,MTR-001,FAC-001,2026-05-06,2026-05-06,12017.717,12205.341,N,VALIDATED,,Y,CLOSED,FCAL-20260506,2026-05-07T06:00:00,2026-05-07T07:00:00
FCAL-00000037,MTR-001,FAC-001,2026-05-07,2026-05-07,12079.542,12038.073,N,VALIDATED,,Y,CLOSED,FCAL-20260507,2026-05-08T06:00:00,2026-05-08T07:00:00
FCAL-00000038,MTR-001,FAC-001,2026-05-08,2026-05-08,12254.041,12113.487,N,VALIDATED,,Y,CLOSED,FCAL-20260508,2026-05-09T06:00:00,2026-05-09T07:00:00
FCAL-00000039,MTR-001,FAC-001,2026-05-09,2026-05-09,11498.372,11607.071,N,VALIDATED,,Y,CLOSED,FCAL-20260509,2026-05-10T06:00:00,2026-05-10T07:00:00
FCAL-00000040,MTR-001,FAC-001,2026-05-10,2026-05-10,11325.119,11445.622,N,VALIDATED,,Y,CLOSED,FCAL-20260510,2026-05-11T06:00:00,2026-05-11T07:00:00
FCAL-00000041,MTR-001,FAC-001,2026-05-11,2026-05-11,11037.64,11117.913,N,VALIDATED,,Y,CLOSED,FCAL-20260511,2026-05-12T06:00:00,2026-05-12T07:00:00
FCAL-00000042,MTR-001,FAC-001,2026-05-12,2026-05-12,11585.229,11757.695,N,VALIDATED,,Y,CLOSED,FCAL-20260512,2026-05-13T06:00:00,2026-05-13T07:00:00
FCAL-00000043,MTR-001,FAC-001,2026-05-13,2026-05-13,12063.028,12512.282,N,VALIDATED,,Y,CLOSED,FCAL-20260513,2026-05-14T06:00:00,2026-05-14T07:00:00
FCAL-00000044,MTR-001,FAC-001,2026-05-14,2026-05-14,12267.254,12273.41,N,VALIDATED,,Y,CLOSED,FCAL-20260514,2026-05-15T06:00:00,2026-05-15T07:00:00
