meter_id,facility_id,meter_name,meter_type,product,measurement_type,custody_transfer_flag,source_system,polling_platform,install_date,active_flag,expected_min_volume,expected_max_volume,sample_interval_minutes
MTR-001,FAC-001,FAC-001-Meter-001,Orifice,GAS,VOLUME,N,FlowCalSim,PI_CONNECTOR_SIM,2021-02-22,Y,110.4,880.82,60
MTR-002,FAC-001,FAC-001-Meter-002,Orifice,GAS,ALLOCATION,N,ProCountSim,IGNITION_SIM,2020-03-11,Y,85.83,1131.38,60
MTR-003,FAC-001,FAC-001-Meter-003,Orifice,GAS,VOLUME,N,SimulatedPollingConnector,CYGNET_SIM,2021-01-10,Y,161.4,1016.97,60
MTR-004,FAC-001,FAC-001-Meter-004,Turbine,GAS,VOLUME,N,SimulatedPollingConnector,IGNITION_SIM,2022-10-26,Y,130.1,1002.31,60
MTR-005,FAC-001,FAC-001-Meter-005,Orifice,GAS,OPERATIONAL,N,PI_SIM,OASYS_SIM,2024-01-15,Y,88.76,968.01,60
MTR-006,FAC-002,FAC-002-Meter-006,Coriolis,PRODUCED_WATER,VOLUME,Y,FlowCalSim,CYGNET_SIM,2020-12-30,Y,86.73,1001.82,60
MTR-007,FAC-002,FAC-002-Meter-007,Coriolis,GAS,CUSTODY_TRANSFER,N,SimulatedPollingConnector,IGNITION_SIM,2020-04-15,Y,110.6,1429.22,60
MTR-008,FAC-002,FAC-002-Meter-008,Turbine,GAS,VOLUME,N,PI_SIM,CYGNET_SIM,2025-05-01,Y,142.73,1434.1,60
MTR-009,FAC-002,FAC-002-Meter-009,Ultrasonic,GAS,VOLUME,N,ProCountSim,CYGNET_SIM,2025-08-30,Y,94.45,953.4,60
MTR-010,FAC-002,FAC-002-Meter-010,Mag Meter,GAS,VOLUME,N,SimulatedPollingConnector,CYGNET_SIM,2024-12-22,Y,139.09,872.8,60
MTR-011,FAC-003,FAC-003-Meter-011,Coriolis,GAS,VOLUME,N,FlowCalSim,CYGNET_SIM,2025-05-28,N,173.78,1421.73,60
MTR-012,FAC-003,FAC-003-Meter-012,Mag Meter,GAS,VOLUME,N,FlowCalSim,IGNITION_SIM,2025-11-10,Y,82.16,1676.29,60
MTR-013,FAC-003,FAC-003-Meter-013,Mag Meter,GAS,VOLUME,N,PI_SIM,OASYS_SIM,2025-03-30,Y,145.94,1576.99,60
MTR-014,FAC-003,FAC-003-Meter-014,Mag Meter,GAS,CUSTODY_TRANSFER,N,SimulatedPollingConnector,OASYS_SIM,2023-12-27,Y,135.49,1220.92,60
MTR-015,FAC-003,FAC-003-Meter-015,Ultrasonic,GAS,VOLUME,N,SimulatedPollingConnector,MANUAL_UPLOAD,2019-12-22,Y,105.6,1786.04,60
MTR-016,FAC-004,FAC-004-Meter-016,Mag Meter,PRODUCED_WATER,VOLUME,N,SimulatedPollingConnector,IGNITION_SIM,2024-07-11,Y,84.92,1123.55,60
MTR-017,FAC-004,FAC-004-Meter-017,Orifice,GAS,OPERATIONAL,Y,FlowCalSim,OASYS_SIM,2021-02-06,Y,89.45,1596.79,60
MTR-018,FAC-004,FAC-004-Meter-018,Coriolis,PRODUCED_WATER,CUSTODY_TRANSFER,Y,FlowCalSim,IGNITION_SIM,2023-08-18,Y,49.2,625.49,60
MTR-019,FAC-004,FAC-004-Meter-019,Mag Meter,PRODUCED_WATER,VOLUME,Y,SimulatedPollingConnector,IGNITION_SIM,2023-12-26,Y,70.04,600.73,60
MTR-020,FAC-004,FAC-004-Meter-020,Coriolis,GAS,VOLUME,N,SimulatedPollingConnector,IGNITION_SIM,2021-02-20,Y,130.63,1544.26,60
MTR-021,FAC-005,FAC-005-Meter-021,Ultrasonic,GAS,VOLUME,N,FlowCalSim,IGNITION_SIM,2021-06-15,Y,92.38,1777.56,60
MTR-022,FAC-005,FAC-005-Meter-022,Ultrasonic,PRODUCED_WATER,ALLOCATION,N,PI_SIM,OASYS_SIM,2022-10-21,Y,57.19,1147.37,60
MTR-023,FAC-005,FAC-005-Meter-023,Ultrasonic,GAS,CUSTODY_TRANSFER,N,PI_SIM,PI_CONNECTOR_SIM,2025-04-05,Y,176.62,1446.04,60
MTR-024,FAC-005,FAC-005-Meter-024,Turbine,GAS,VOLUME,N,PI_SIM,PI_CONNECTOR_SIM,2024-05-10,Y,90.91,1679.43,60
MTR-025,FAC-005,FAC-005-Meter-025,Mag Meter,NGL,ALLOCATION,N,FlowCalSim,CYGNET_SIM,2022-02-20,Y,45.63,555.8,60
MTR-026,FAC-006,FAC-006-Meter-026,Mag Meter,GAS,VOLUME,Y,FlowCalSim,OASYS_SIM,2020-09-02,Y,103.67,1596.01,60
MTR-027,FAC-006,FAC-006-Meter-027,Mag Meter,PRODUCED_WATER,VOLUME,N,PI_SIM,OASYS_SIM,2022-03-18,Y,58.62,600.71,60
MTR-028,FAC-006,FAC-006-Meter-028,Ultrasonic,GAS,VOLUME,N,ProCountSim,CYGNET_SIM,2024-09-14,Y,82.11,905.4,60
MTR-029,FAC-006,FAC-006-Meter-029,Turbine,GAS,VOLUME,Y,PI_SIM,OASYS_SIM,2021-09-02,Y,130.45,1725.0,60
MTR-030,FAC-006,FAC-006-Meter-030,Ultrasonic,GAS,VOLUME,N,PI_SIM,PI_CONNECTOR_SIM,2024-02-28,Y,137.12,1266.26,60
MTR-031,FAC-007,FAC-007-Meter-031,Mag Meter,GAS,OPERATIONAL,N,PI_SIM,PI_CONNECTOR_SIM,2025-04-15,Y,172.48,949.11,60
MTR-032,FAC-007,FAC-007-Meter-032,Ultrasonic,CRUDE,VOLUME,N,PI_SIM,CYGNET_SIM,2021-04-22,Y,52.12,600.55,60
MTR-033,FAC-007,FAC-007-Meter-033,Ultrasonic,GAS,VOLUME,N,SimulatedPollingConnector,OASYS_SIM,2020-07-26,Y,143.96,1116.46,60
