nomination_id,facility_id,production_date,product,nominated_volume,customer_group,contract_type,status,effective_start_date,effective_end_date
NOM-00000001,FAC-001,2026-04-01,NGL,68885.177,Third-Party,Gathering,ACTIVE,2026-04-01,2026-04-01
NOM-00000002,FAC-001,2026-04-02,PRODUCED_WATER,74926.897,Affiliate,Gathering,ACTIVE,2026-04-02,2026-04-02
NOM-00000003,FAC-001,2026-04-03,GAS,77350.073,Commercial,Gathering,ACTIVE,2026-04-03,2026-04-03
NOM-00000004,FAC-001,2026-04-04,PRODUCED_WATER,73448.623,Commercial,Firm,ACTIVE,2026-04-04,2026-04-04
NOM-00000005,FAC-001,2026-04-05,NGL,61715.365,Operations,Firm,ACTIVE,2026-04-05,2026-04-05
NOM-00000006,FAC-001,2026-04-06,NGL,65795.531,Affiliate,Processing,ACTIVE,2026-04-06,2026-04-06
NOM-00000007,FAC-001,2026-04-07,NGL,80892.991,Affiliate,Firm,ACTIVE,2026-04-07,2026-04-07
NOM-00000008,FAC-001,2026-04-08,GAS,78697.855,Operations,Interruptible,ACTIVE,2026-04-08,2026-04-08
NOM-00000009,FAC-001,2026-04-09,CRUDE,70205.493,Affiliate,Processing,ACTIVE,2026-04-09,2026-04-09
NOM-00000010,FAC-001,2026-04-10,GAS,73175.34,Internal Forecast,Gathering,ACTIVE,2026-04-10,2026-04-10
NOM-00000011,FAC-001,2026-04-11,GAS,78859.897,Third-Party,Gathering,ACTIVE,2026-04-11,2026-04-11
NOM-00000012,FAC-001,2026-04-12,GAS,68242.959,Operations,Processing,ACTIVE,2026-04-12,2026-04-12
NOM-00000013,FAC-001,2026-04-13,GAS,66244.203,Affiliate,Processing,ACTIVE,2026-04-13,2026-04-13
NOM-00000014,FAC-001,2026-04-14,GAS,59614.167,Third-Party,Interruptible,ACTIVE,2026-04-14,2026-04-14
NOM-00000015,FAC-001,2026-04-15,GAS,71734.011,Internal Forecast,Water Services,ACTIVE,2026-04-15,2026-04-15
NOM-00000016,FAC-001,2026-04-16,GAS,73802.632,Internal Forecast,Water Services,ACTIVE,2026-04-16,2026-04-16
NOM-00000017,FAC-001,2026-04-17,CRUDE,61055.823,Third-Party,Processing,ACTIVE,2026-04-17,2026-04-17
NOM-00000018,FAC-001,2026-04-18,GAS,73998.818,Commercial,Interruptible,ACTIVE,2026-04-18,2026-04-18
NOM-00000019,FAC-001,2026-04-19,GAS,61290.899,Commercial,Interruptible,ACTIVE,2026-04-19,2026-04-19
NOM-00000020,FAC-001,2026-04-20,CRUDE,71668.032,Third-Party,Firm,REVISED,2026-04-20,2026-04-20
NOM-00000021,FAC-001,2026-04-21,PRODUCED_WATER,59086.574,Third-Party,Processing,ACTIVE,2026-04-21,2026-04-21
NOM-00000022,FAC-001,2026-04-22,NGL,66927.53,Commercial,Interruptible,ACTIVE,2026-04-22,2026-04-22
NOM-00000023,FAC-001,2026-04-23,GAS,65433.517,Operations,Processing,ACTIVE,2026-04-23,2026-04-23
NOM-00000024,FAC-001,2026-04-24,GAS,67931.352,Internal Forecast,Water Services,ACTIVE,2026-04-24,2026-04-24
NOM-00000025,FAC-001,2026-04-25,GAS,64004.022,Affiliate,Water Services,ACTIVE,2026-04-25,2026-04-25
NOM-00000026,FAC-001,2026-04-26,NGL,54959.14,Affiliate,Gathering,ACTIVE,2026-04-26,2026-04-26
NOM-00000027,FAC-001,2026-04-27,GAS,65649.136,Third-Party,Processing,ACTIVE,2026-04-27,2026-04-27
NOM-00000028,FAC-001,2026-04-28,NGL,62296.26,Affiliate,Firm,ACTIVE,2026-04-28,2026-04-28
NOM-00000029,FAC-001,2026-04-29,GAS,65885.327,Operations,Firm,ACTIVE,2026-04-29,2026-04-29
NOM-00000030,FAC-001,2026-04-30,PRODUCED_WATER,68266.55,Internal Forecast,Interruptible,ACTIVE,2026-04-30,2026-04-30
NOM-00000031,FAC-001,2026-05-01,PRODUCED_WATER,68641.77,Commercial,Processing,ACTIVE,2026-05-01,2026-05-01
NOM-00000032,FAC-001,2026-05-02,GAS,68098.94,Internal Forecast,Water Services,ACTIVE,2026-05-02,2026-05-02
NOM-00000033,FAC-001,2026-05-03,GAS,62714.855,Operations,Interruptible,ACTIVE,2026-05-03,2026-05-03
NOM-00000034,FAC-001,2026-05-04,NGL,67479.764,Commercial,Water Services,ACTIVE,2026-05-04,2026-05-04
NOM-00000035,FAC-001,2026-05-05,CRUDE,67033.217,Affiliate,Interruptible,ACTIVE,2026-05-05,2026-05-05
NOM-00000036,FAC-001,2026-05-06,GAS,67072.122,Internal Forecast,Water Services,ACTIVE,2026-05-06,2026-05-06
NOM-00000037,FAC-001,2026-05-07,GAS,77803.219,Third-Party,Water Services,ACTIVE,2026-05-07,2026-05-07
NOM-00000038,FAC-001,2026-05-08,GAS,70927.843,Operations,Interruptible,ACTIVE,2026-05-08,2026-05-08
NOM-00000039,FAC-001,2026-05-09,NGL,63046.199,Commercial,Firm,ACTIVE,2026-05-09,2026-05-09
NOM-00000040,FAC-001,2026-05-10,GAS,55222.524,Operations,Gathering,ACTIVE,2026-05-10,2026-05-10
NOM-00000041,FAC-001,2026-05-11,GAS,67112.027,Operations,Firm,ACTIVE,2026-05-11,2026-05-11
NOM-00000042,FAC-001,2026-05-12,GAS,64963.557,Internal Forecast,Interruptible,ACTIVE,2026-05-12,2026-05-12
NOM-00000043,FAC-001,2026-05-13,PRODUCED_WATER,58472.697,Commercial,Water Services,ACTIVE,2026-05-13,2026-05-13
NOM-00000044,FAC-001,2026-05-14,PRODUCED_WATER,76446.872,Commercial,Firm,ACTIVE,2026-05-14,2026-05-14
NOM-00000045,FAC-001,2026-05-15,CRUDE,70501.598,Affiliate,Interruptible,ACTIVE,2026-05-15,2026-05-15
NOM-00000046,FAC-001,2026-05-16,NGL,58077.97,Commercial,Water Services,ACTIVE,2026-05-16,2026-05-16
NOM-00000047,FAC-001,2026-05-17,GAS,61689.779,Operations,Firm,ACTIVE,2026-05-17,2026-05-17
NOM-00000048,FAC-001,2026-05-18,GAS,79441.595,Operations,Processing,ACTIVE,2026-05-18,2026-05-18
NOM-00000049,FAC-001,2026-05-19,CRUDE,61275.404,Third-Party,Water Services,ACTIVE,2026-05-19,2026-05-19
NOM-00000050,FAC-001,2026-05-20,GAS,68517.706,Third-Party,Gathering,ACTIVE,2026-05-20,2026-05-20
NOM-00000051,FAC-001,2026-05-21,GAS,64016.781,Third-Party,Interruptible,ACTIVE,2026-05-21,2026-05-21
NOM-00000052,FAC-001,2026-05-22,NGL,66304.069,Commercial,Gathering,ACTIVE,2026-05-22,2026-05-22
