run_id,pipeline_name,source_file,started_at,completed_at,status,rows_read,rows_accepted,rows_rejected,error_count,warning_count,error_message,trigger_type,environment
RUN-000001,bronze_raw_polling_ingest,raw_polling_readings.csv,2026-05-01T02:01:00,2026-05-01T02:31:00,SUCCESS,153181,153170,11,0,10,,SCHEDULED,DEV
RUN-000002,bronze_mongodb_event_ingest,meter_polling_events,2026-05-01T04:23:00,2026-05-01T04:35:00,FAILED,133567,131817,1750,10,8,Credential/token expired,SCHEDULED,DEV
RUN-000003,silver_meter_validation,bronze_meter_readings,2026-05-01T01:14:00,2026-05-01T01:40:00,SUCCESS,6367,6359,8,0,5,,SCHEDULED,DEV
RUN-000004,gold_facility_daily_kpi,silver_validated_readings,2026-05-01T02:01:00,2026-05-01T02:38:00,PARTIAL_SUCCESS,9277,8886,391,1,12,Partial load: rejected rows exceeded warning threshold.,SCHEDULED,DEV
RUN-000005,publish_bigquery_streamlit,gold_investigation_tables,2026-05-01T04:05:00,2026-05-01T04:40:00,SUCCESS,22302,22293,9,0,0,,SCHEDULED,DEV
RUN-000006,bronze_raw_polling_ingest,raw_polling_readings.csv,2026-05-02T05:38:00,2026-05-02T06:06:00,RETRY_SUCCESS,121019,120997,22,3,9,Initial attempt failed; retry completed successfully.,SCHEDULED,DEV
RUN-000007,bronze_mongodb_event_ingest,meter_polling_events,2026-05-02T01:15:00,2026-05-02T01:21:00,SUCCESS,62119,62103,16,0,1,,SCHEDULED,DEV
RUN-000008,silver_meter_validation,bronze_meter_readings,2026-05-02T01:01:00,2026-05-02T01:27:00,SUCCESS,10246,10227,19,0,9,,SCHEDULED,DEV
RUN-000009,gold_facility_daily_kpi,silver_validated_readings,2026-05-02T03:13:00,2026-05-02T03:26:00,RETRY_SUCCESS,2605,2536,69,3,10,Initial attempt failed; retry completed successfully.,SCHEDULED,DEV
RUN-000010,publish_bigquery_streamlit,gold_investigation_tables,2026-05-02T02:31:00,2026-05-02T03:04:00,SUCCESS,12789,12778,11,0,3,,SCHEDULED,DEV
RUN-000011,bronze_raw_polling_ingest,raw_polling_readings.csv,2026-05-03T05:27:00,2026-05-03T05:35:00,SUCCESS,128225,128215,10,0,3,,SCHEDULED,DEV
RUN-000012,bronze_mongodb_event_ingest,meter_polling_events,2026-05-03T02:09:00,2026-05-03T02:46:00,SUCCESS,107056,107037,19,0,11,,SCHEDULED,DEV
RUN-000013,silver_meter_validation,bronze_meter_readings,2026-05-03T03:08:00,2026-05-03T03:14:00,SUCCESS,18424,18414,10,0,0,,SCHEDULED,DEV
RUN-000014,gold_facility_daily_kpi,silver_validated_readings,2026-05-03T02:43:00,2026-05-03T02:48:00,SUCCESS,19600,19578,22,0,9,,SCHEDULED,DEV
RUN-000015,publish_bigquery_streamlit,gold_investigation_tables,2026-05-03T01:16:00,2026-05-03T01:34:00,SUCCESS,1054,1035,19,0,7,,SCHEDULED,DEV
RUN-000016,bronze_raw_polling_ingest,raw_polling_readings.csv,2026-05-04T01:24:00,2026-05-04T01:58:00,RETRY_SUCCESS,115041,115024,17,1,12,Initial attempt failed; retry completed successfully.,RETRY,DEV
RUN-000017,bronze_mongodb_event_ingest,meter_polling_events,2026-05-04T04:02:00,2026-05-04T04:08:00,SUCCESS,89970,89966,4,0,9,,SCHEDULED,DEV
RUN-000018,silver_meter_validation,bronze_meter_readings,2026-05-04T04:00:00,2026-05-04T04:37:00,SUCCESS,12015,12000,15,0,0,,MANUAL,DEV
RUN-000019,gold_facility_daily_kpi,silver_validated_readings,2026-05-04T03:40:00,2026-05-04T04:17:00,FAILED,23299,23279,20,0,6,Scenario-seeded failure for demo.,SCHEDULED,DEV
RUN-000020,publish_bigquery_streamlit,gold_investigation_tables,2026-05-04T02:00:00,2026-05-04T02:28:00,SUCCESS,22610,22595,15,0,8,,SCHEDULED,DEV
RUN-000021,bronze_raw_polling_ingest,raw_polling_readings.csv,2026-05-05T03:07:00,2026-05-05T03:15:00,SUCCESS,126100,126096,4,0,3,,SCHEDULED,DEV
RUN-000022,bronze_mongodb_event_ingest,meter_polling_events,2026-05-05T01:16:00,2026-05-05T01:20:00,SUCCESS,119381,119364,17,0,9,,SCHEDULED,DEV
RUN-000023,silver_meter_validation,bronze_meter_readings,2026-05-05T01:30:00,2026-05-05T01:46:00,SUCCESS,16159,16138,21,0,2,,SCHEDULED,DEV
RUN-000024,gold_facility_daily_kpi,silver_validated_readings,2026-05-05T01:27:00,2026-05-05T01:36:00,SUCCESS,5358,5347,11,0,1,,SCHEDULED,DEV
RUN-000025,publish_bigquery_streamlit,gold_investigation_tables,2026-05-05T05:34:00,2026-05-05T05:58:00,SUCCESS,2815,2792,23,0,6,,SCHEDULED,DEV
RUN-000026,bronze_raw_polling_ingest,raw_polling_readings.csv,2026-05-06T02:24:00,2026-05-06T02:39:00,SUCCESS,34906,34901,5,0,8,,SCHEDULED,DEV
RUN-000027,bronze_mongodb_event_ingest,meter_polling_events,2026-05-06T05:34:00,2026-05-06T05:38:00,SUCCESS,106896,106886,10,0,8,,SCHEDULED,DEV
RUN-000028,silver_meter_validation,bronze_meter_readings,2026-05-06T03:15:00,2026-05-06T03:39:00,SUCCESS,13696,13694,2,0,5,,SCHEDULED,DEV
RUN-000029,gold_facility_daily_kpi,silver_validated_readings,2026-05-06T04:24:00,2026-05-06T04:28:00,PARTIAL_SUCCESS,14806,14596,210,2,29,Partial load: rejected rows exceeded warning threshold.,SCHEDULED,DEV
RUN-000030,publish_bigquery_streamlit,gold_investigation_tables,2026-05-06T05:11:00,2026-05-06T05:41:00,SUCCESS,15847,15835,12,0,6,,RETRY,DEV
RUN-000031,bronze_raw_polling_ingest,raw_polling_readings.csv,2026-05-07T05:01:00,2026-05-07T05:18:00,RETRY_SUCCESS,92943,92916,27,2,9,Initial attempt failed; retry completed successfully.,SCHEDULED,DEV
RUN-000032,bronze_mongodb_event_ingest,meter_polling_events,2026-05-07T03:38:00,2026-05-07T03:51:00,SUCCESS,145848,145824,24,0,8,,RETRY,DEV
RUN-000033,silver_meter_validation,bronze_meter_readings,2026-05-07T05:31:00,2026-05-07T05:58:00,SUCCESS,12781,12777,4,0,8,,SCHEDULED,DEV
RUN-000034,gold_facility_daily_kpi,silver_validated_readings,2026-05-07T04:27:00,2026-05-07T05:01:00,SUCCESS,24000,23980,20,0,4,,SCHEDULED,DEV
RUN-000035,publish_bigquery_streamlit,gold_investigation_tables,2026-05-07T05:43:00,2026-05-07T06:13:00,FAILED,4428,2632,1796,6,34,Rejected rows above threshold,SCHEDULED,DEV
RUN-000036,bronze_raw_polling_ingest,raw_polling_readings.csv,2026-05-08T03:12:00,2026-05-08T03:30:00,SUCCESS,155909,155899,10,0,0,,RETRY,DEV
RUN-000037,bronze_mongodb_event_ingest,meter_polling_events,2026-05-08T05:35:00,2026-05-08T05:57:00,SUCCESS,168052,168052,0,0,0,,SCHEDULED,DEV
RUN-000038,silver_meter_validation,bronze_meter_readings,2026-05-08T05:08:00,2026-05-08T05:42:00,SUCCESS,16995,16991,4,0,11,,RETRY,DEV
RUN-000039,gold_facility_daily_kpi,silver_validated_readings,2026-05-08T05:20:00,2026-05-08T05:38:00,SUCCESS,8302,8300,2,0,0,,RETRY,DEV
RUN-000040,publish_bigquery_streamlit,gold_investigation_tables,2026-05-08T01:26:00,2026-05-08T01:38:00,PARTIAL_SUCCESS,5362,4504,858,7,27,Partial load: rejected rows exceeded warning threshold.,SCHEDULED,DEV
RUN-000041,bronze_raw_polling_ingest,raw_polling_readings.csv,2026-05-09T03:21:00,2026-05-09T03:39:00,SUCCESS,143576,143566,10,0,6,,MANUAL,DEV
RUN-000042,bronze_mongodb_event_ingest,meter_polling_events,2026-05-09T03:29:00,2026-05-09T03:56:00,SUCCESS,3322,3311,11,0,10,,SCHEDULED,DEV
RUN-000043,silver_meter_validation,bronze_meter_readings,2026-05-09T02:09:00,2026-05-09T02:45:00,SUCCESS,22770,22748,22,0,2,,SCHEDULED,DEV
RUN-000044,gold_facility_daily_kpi,silver_validated_readings,2026-05-09T05:35:00,2026-05-09T05:58:00,SUCCESS,19221,19214,7,0,0,,SCHEDULED,DEV
